J,k,K,S2,N,p,std
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,3.4960378417110984
7.431718787082437,0.25,0.9935046236166668,4.999999999999999,100,0.75,3.2797526458235327
8.858149595614554,0.5,0.9969642952398551,23.499999999999996,100,0.75,3.607619397527643
9.550094890569206,0.75,1.004106420884173,75.24999999999997,100,0.75,3.504702650064112
9.673287051806502,1.0,1.0002208564783601,75.00000000000003,100,0.75,2.8174042802637564
9.786869749507213,1.25,1.0015825037427228,94.75000000000004,100,0.75,2.7336866323449613
9.90977812593197,1.5,1.0019764152922508,221.49999999999997,100,0.75,3.2176012261680387
9.90888924595555,1.75,1.0106863358226623,288.87500000000006,100,0.75,3.8513750564156584
9.921673007247062,2.0,1.008280924890008,240.9999999999999,100,0.75,4.220445801297021
10.204385707630868,2.25,1.0391460993099144,598.3749999999999,100,0.75,3.460394811912291
10.095719838101159,2.5,1.0175249187760556,625.9999999999999,100,0.75,4.026900429043578
10.198222224607418,2.75,1.0221694348712804,848.0,100,0.75,2.9926442538271374
9.986165344971566,3.0,1.0104010483400945,541.0,100,0.75,4.246920222938084
10.307169314114851,3.25,1.0249842400052849,1141.75,100,0.75,4.477631849621043
10.545778561269431,3.5,1.0358863080883831,956.5000000000002,100,0.75,4.015492395322557
10.4187697976388,3.75,1.0478329542549878,1716.6249999999995,100,0.75,3.737571623407744
10.056610203475604,4.0,1.0544575157884601,1056.9999999999998,100,0.75,4.742926154715201
10.15840106897155,4.25,1.0502457001151289,1373.7499999999998,100,0.75,4.081646418778814
10.328058947237587,4.5,1.049477977317419,2188.0,100,0.75,3.9614915003522824
10.786492804936575,4.75,1.0829022204148506,4513.500000000002,100,0.75,4.634019070859065
10.136466235354172,5.0,1.0151083981964988,1151.0,100,0.75,2.6044705458682165
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,2.912641227064147
5.8791491823679145,0.25,0.9927574889083055,3.499999999999999,100,0.75,3.451951232332803
8.679059332800415,0.5,0.9969679666195732,19.500000000000004,100,0.75,3.5935964440263124
9.683912144189957,0.75,0.9980071285827882,52.74999999999998,100,0.75,3.209141567609695
9.875397126810448,1.0,1.004790783280786,135.00000000000003,100,0.75,2.468508905008928
9.852680565160675,1.25,1.0054126528576655,160.37500000000003,100,0.75,2.969587665291062
9.86690892765958,1.5,1.0131517775045986,216.99999999999997,100,0.75,3.5645415706063153
9.923268219965946,1.75,1.0258219419000332,258.25,100,0.75,2.952225102558092
10.154823769164087,2.0,1.023177123271513,464.9999999999999,100,0.75,3.1568974381858768
10.16624844811257,2.25,1.0225676935214356,517.3750000000001,100,0.75,3.554447576374025
10.139210602338851,2.5,1.0422045539503924,538.5000000000001,100,0.75,4.003961659470946
10.02693888014727,2.75,1.0074079519511328,439.6250000000001,100,0.75,2.6679428236177385
10.913361743091087,3.0,1.0807752839758058,1585.0,100,0.75,4.416068142760434
10.253621754852693,3.25,1.0223789861856423,1099.5,100,0.75,2.723660162356049
10.494725936254893,3.5,1.0281281879653832,1103.5,100,0.75,3.711000630152812
10.225204636273935,3.75,1.0404301916791008,1463.4999999999998,100,0.75,3.6541525399144335
10.362620544975043,4.0,1.021996772249684,801.0,100,0.75,3.593531646232527
10.665530707656778,4.25,1.0498641254212435,1915.6249999999995,100,0.75,2.979111733619981
10.368796001825817,4.5,1.0316296550682154,1661.4999999999995,100,0.75,3.5001792289230735
10.625050409571775,4.75,1.060435775911174,2437.7500000000005,100,0.75,3.3429470971279307
9.992919817358041,5.0,1.024386204782348,1500.9999999999998,100,0.75,3.0428572277004173
0,0.0,0.9900498502502464,1.0000000000000004,100,0.75,2.795300891583937
6.714474247795933,0.25,0.9944709829020552,7.374999999999998,100,0.75,3.050327353308565
8.66319991750313,0.5,0.9948959424583399,12.999999999999996,100,0.75,3.6119790717110964
9.187107375557128,0.75,0.9962506850968141,31.374999999999996,100,0.75,4.50943330749461
