J,k,K,S2,N,p,std
0,0,0.99004985,1,100,0.25,3.311707025
7.481216872,0.25,1.002566522,11,100,0.25,3.264797966
9.559005387,0.5,1.288948482,111,100,0.25,5.066953058
9.806120281,0.75,1.756583653,211.375,100,0.25,6.732796401
9.90345622,1,1.520066754,519,100,0.25,7.711003091
10.8548576,1.25,1.61999908,841.625,100,0.25,7.207967685
0,0,0.99004985,1,100,0.25,2.823848047
10.56618964,1.5,1.317703468,1220.5,100,0.25,4.39963932
8.136532991,0.25,1.158889266,10.125,100,0.25,4.062792403
12.16904831,1.75,1.386175733,2046.75,100,0.25,7.079200103
9.586932915,0.5,1.095741363,65,100,0.25,3.181486491
9.561996454,0.75,1.112256111,158.5,100,0.25,4.847078671
12.09937959,2,2.586054284,2217,100,0.25,18.20537387
10.89445712,1,2.093509915,309,100,0.25,6.99794503
13.06152643,2.25,1.59853933,3433.375,100,0.25,9.388698239
12.62944848,2.5,1.982324923,5501,100,0.25,8.185988547
10.861822,1.25,1.612208806,1022.875,100,0.25,11.48807018
13.45157113,2.75,1.417967909,5219.125,100,0.25,5.693612057
11.6754548,1.5,1.566158731,1148.5,100,0.25,5.154491665
12.43442383,3,1.498082536,7039,100,0.25,6.177075814
10.95457383,1.75,1.491264818,950.375,100,0.25,6.715739659
12.70190344,3.25,1.646157852,7183.5,100,0.25,10.21209669
12.99023096,2,1.715760722,3297,100,0.25,8.244167283
12.78324526,3.5,1.6265999,9899,100,0.25,7.434439488
11.62710806,2.25,3.339721974,2005.75,100,0.25,15.92461535
13.53154137,3.75,1.683937786,11560.375,100,0.25,10.82401614
12.55020311,2.5,1.763994329,9401,100,0.25,10.7196509
13.81677791,4,1.894429862,11809,100,0.25,6.928403318
12.77817705,2.75,1.468488484,9439,100,0.25,5.636276926
13.61704994,4.25,1.89613917,20194.875,100,0.25,9.862155928
12.82915687,3,1.650658868,4861,100,0.25,8.856731622
14.03653914,4.5,1.5947577,16687,100,0.25,8.015865068
14.33211538,3.25,1.914878165,5218.875,100,0.25,9.800547601
14.25865894,4.75,2.107315205,38898.75,100,0.25,14.56043408
12.98985645,3.5,1.414582357,5489,100,0.25,6.676754657
14.82533037,5,1.809666112,21351,100,0.25,7.595842666
0,0,0.99004985,1,100,0.25,3.350923226
13.68727875,3.75,1.961358992,11644.75,100,0.25,11.03271251
8.116508386,0.25,1.004481449,10,100,0.25,2.746985176
13.82972614,4,1.671998033,39201,100,0.25,8.28026482
9.529930708,0.5,1.590800402,93,100,0.25,5.722082432
14.37768309,4.25,1.869665235,35331.25,100,0.25,8.14028334
9.796172585,0.75,1.288335287,151.75,100,0.25,3.891263785
14.53389986,4.5,2.123906462,10166.5,100,0.25,12.16687066
10.01117692,1,1.243645714,299,100,0.25,4.168152616
14.61272839,4.75,1.600372201,22112.25,100,0.25,6.903794618
10.37577111,1.25,1.262857215,310.375,100,0.25,4.823027142
12.99140132,5,1.424192104,28801,100,0.25,5.272443217
10.95796491,1.5,1.386192223,851.5,100,0.25,4.996422035
0,0,0.99004985,1,100,0.25,2.985244722
8.101824899,0.25,1.002757107,7.5,100,0.25,3.39880914
11.5959517,1.75,1.645423612,2169.25,100,0.25,11.61120302
9.53053699,0.5,1.328687589,77.5,100,0.25,4.991296014
12.52425379,2,1.551595603,2681,100,0.25,6.380110832
9.928177631,0.75,1.590086308,404.875,100,0.25,7.725384944
12.87550028,2.25,1.811288836,3139.75,100,0.25,10.28876131
10.05697615,1,1.713081127,201,100,0.25,4.036396987
10.93193095,1.25,1.439234998,966.625,100,0.25,5.712237192
12.16024631,2.5,1.826914422,4063.5,100,0.25,13.93672321
11.42059488,1.5,1.498522722,2210.5,100,0.25,6.244741548
12.28722874,2.75,1.557326042,5430.875,100,0.25,8.221380314
14.08479031,3,1.879518457,12151,100,0.25,7.358182507
11.80518727,1.75,1.510870461,1348.5,100,0.25,8.67827161
11.99056274,2,3.401362239,2273,100,0.25,21.43361774
13.66849413,3.25,3.184888403,6930,100,0.25,26.05153548
14.82611525,3.5,2.010663327,22051,100,0.25,9.54155486
12.87954573,2.25,2.222027588,3301.75,100,0.25,21.12960323
13.80719782,3.75,1.968601412,7735.375,100,0.25,9.921901139
12.39579538,2.5,1.610702926,3513.5,100,0.25,8.184943195
13.76948597,4,1.59348282,22049,100,0.25,5.635108959
13.62788305,4.25,1.608170372,16257.25,100,0.25,6.41914818
12.74573185,2.75,1.709756147,6489.625,100,0.25,6.859989463
13.13500161,4.5,1.31007296,10855,100,0.25,4.231371665
13.27146047,3,1.710025009,5347,100,0.25,5.886222908
14.41996522,4.75,1.425260963,12500.625,100,0.25,5.614001916
12.24836084,3.25,1.553619217,5387.875,100,0.25,5.84633112
15.54847603,5,1.734965993,33201,100,0.25,7.348171266
0,0,0.99004985,1,100,0.25,4.198492791
8.126306206,0.25,1.000296245,13.625,100,0.25,2.455949469
9.513680143,0.5,1.169067934,59,100,0.25,4.15158383
12.98252261,3.5,3.385137454,9384.5,100,0.25,42.56343111
9.936789535,0.75,1.43562593,338.5,100,0.25,4.250410501
13.3895331,3.75,1.636619323,17832.25,100,0.25,6.907118153
13.55165509,4,1.383048643,9281,100,0.25,4.64935913
9.916366232,1,1.285674051,357,100,0.25,5.311008305
12.7380963,4.25,1.497444751,10260.5,100,0.25,7.538780566
10.70475955,1.25,1.394582994,669.75,100,0.25,6.59055685
14.72806398,4.5,1.562117784,20413,100,0.25,3.817250963
12.10896947,1.5,1.513198963,1864,100,0.25,6.131212838
14.77132116,4.75,2.012633012,23240.375,100,0.25,8.676038642
10.75924985,1.75,1.395058976,1195.375,100,0.25,5.288208975
15.23620744,5,1.783253045,26801,100,0.25,7.579834787
0,0,0.99004985,1,100,0.25,3.105078543
11.14077331,2,1.567623757,1585,100,0.25,9.777106392
8.148053809,0.25,1.032047923,12.125,100,0.25,4.522043481
13.17902963,2.25,1.715860757,5012.875,100,0.25,8.188366127
9.516431495,0.5,1.088349382,92,100,0.25,3.799594856
12.79076125,2.5,2.022156021,4388.5,100,0.25,9.035449958
9.877654139,0.75,1.414318805,260.875,100,0.25,7.94993282
11.96272437,2.75,1.475642756,5975.375,100,0.25,5.07794705
10.5482602,1,1.409157332,457,100,0.25,4.660290623
13.41553249,3,1.587521582,5275,100,0.25,5.627098708
10.93786313,1.25,1.323025693,732.25,100,0.25,5.991585925
12.82511472,3.25,1.949837045,7922.875,100,0.25,10.67445778
11.3698103,1.5,1.394744128,680.5,100,0.25,6.076639758
11.81024161,3.5,1.878938645,4950,100,0.25,10.55905055
11.40199206,1.75,1.438193622,1440.375,100,0.25,5.682300538
14.33545518,3.75,1.667463643,24947.875,100,0.25,7.200667059
12.78077055,2,1.463840282,2185,100,0.25,8.860721431
14.58236345,4,2.206216645,11041,100,0.25,7.555415285
11.76543371,2.25,1.840332966,1823.5,100,0.25,7.056324622
13.66628569,4.25,1.432163247,17919,100,0.25,6.999822532
14.37715385,4.5,1.575582166,13933,100,0.25,8.782761096
11.752089,2.5,1.789022573,4063.5,100,0.25,11.21478162
12.76411402,2.75,1.519569729,6701.375,100,0.25,9.34464655
14.32338802,4.75,4.616422661,23962.375,100,0.25,37.48852128
12.61155773,3,1.5368271,8497,100,0.25,6.311579518
14.70280431,5,2.495935613,13101,100,0.25,13.69987872
13.66849413,3.25,1.740964221,9655.125,100,0.25,8.888659415
0,0,0.99004985,1,100,0.25,2.447800888
12.89884978,3.5,1.589108606,13647.5,100,0.25,7.372133855
8.125928442,0.25,1.175092341,11.875,100,0.25,6.208874358
14.02578848,3.75,1.493349777,9141.625,100,0.25,7.98138698
9.513253205,0.5,1.225831666,93,100,0.25,3.769469482
9.961941765,0.75,1.173866311,269.875,100,0.25,2.740437598
14.41744419,4,1.679901855,20961,100,0.25,8.584802359
15.0569147,4.25,1.826875123,19327.875,100,0.25,7.342994378
10.06825787,1,1.33607448,317,100,0.25,5.085826407
10.34190232,1.25,1.251243131,654.125,100,0.25,5.177726427
15.15792443,4.5,2.083981759,20575,100,0.25,11.60816381
10.69598893,1.5,1.382166659,1112.5,100,0.25,5.471457748
14.51444659,4.75,1.972278635,22473.25,100,0.25,13.94062495
11.80125445,1.75,2.139692179,1765,100,0.25,10.43820118
14.14065228,5,1.916342414,20901,100,0.25,11.40128245
0,0,0.99004985,1,100,0.25,2.581234428
12.56115451,2,1.567795001,2473,100,0.25,7.886421056
8.109173328,0.25,1.011633847,13.25,100,0.25,4.209976605
12.48774982,2.25,1.424934838,2967.625,100,0.25,6.41418349
9.56858995,0.5,1.376255307,86,100,0.25,4.135661091
12.28184102,2.5,1.601270376,2651,100,0.25,10.05587232
13.01325313,2.75,1.491451512,5672.875,100,0.25,4.536984424
9.78405875,0.75,1.744011649,186.625,100,0.25,12.15564741
12.74238267,3,1.538944294,4213,100,0.25,8.995831634
10.38105152,1,1.384946341,327,100,0.25,6.304494745
10.63249742,1.25,1.56729229,879.125,100,0.25,8.260807961
12.07171499,3.25,2.106592979,6887.75,100,0.25,14.57807277
14.23506931,3.5,1.371679401,6665,100,0.25,4.563008013
10.95501672,1.5,1.487064259,973,100,0.25,7.627773898
